Start Date	03/27/2026
End Date	04/30/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	ISRC	Vendor Identifier	Content Title	Artist	Media Type	Spatial Availability Indicator	Label/Studio/Network	Grid	Product	Total  Royalty Bearing Plays	Net Royalty Total	Currency	Offline Indicator
AU	152399938	MXF600600818	MXF600600818	Corazón por Corazón	Mexicanto	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	2	0.018750	AUD	0
AU	160579829	MXF600602067	MXF600602067	Rompiendo el Silencio (Veracruz)	Mista G	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	1	0.009375	AUD	0
AU	319834694	MXF600900157	MXF600900157	Y Qué	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	2	0.018750	AUD	0
AU	319834772	MXF600900168	MXF600900168	Our House	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	1	0.009375	AUD	0
AU	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	1	0.009375	AUD	1
AU	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	6	0.056250	AUD	0
AU	934536126	MXF601401009	MXF601401009	Jarabe Gatuno	Son de Madera	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	1	0.009375	AUD	0
AU	1028042803	MXF601500619	MXF601500619	Lo Que No Fue No Será	David Cavazos, Carlos Macías	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 1	2	0.018750	AUD	0
AU	454642262	MXF601100682	MXF601100682	Tahet El Chebak	Fadi El Saadi	1	0	Fonarte Latino SA de CV		Individual Monthly Discounted Promo 19	1	0.010000	AUD	0
AU	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 19	1	0.010000	AUD	0
AU	160579829	MXF600602067	MXF600602067	Rompiendo el Silencio (Veracruz)	Mista G	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 2	1	0.010000	AUD	0
AU	1170663764	MXF601600514	MXF601600514	Tú	Monocordio	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Discounted Promo 20	2	0.020000	AUD	0
AU	1173641178	MXF601600557	MXF601600557	Mi Corazón Jamás	Carlos Macías	1	0	Fonarte Latino, S.A. de C.V.		Apple One Family Monthly Gratis Trial	1	0.000000	AUD	0
AU	319834694	MXF600900157	MXF600900157	Y Qué	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Apple One Individual Monthly Gratis Trial	1	0.000000	AUD	0
AU	148131249	MXF600600273	MXF600600273	Cuando Voy al trabajo	Victor Jara	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Gratis Trial	1	0.000000	AUD	0
AU	319834685	MXF600900156	MXF600900156	Es Por Ti	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly Gratis Trial	2	0.000000	AUD	0
AU	437177615	MXF601100295	MXF601100295	Caballero Militar	Stahl Metal	1	0	Fonarte Latino SA de CV		Apple One Individual Monthly Hardware Offer (3 Month)	1	0.030000	AUD	0
AU	154052081	MXF600602466	MXF600602466	El Gavilán	Violeta Parra	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly Hardware Offer (3 Month)	1	0.023333	AUD	0
AU	401781401	MXF601000607	MXF601000607	Cristal	Aarón Cruz Trío	1	0	Fonarte Latino SA de CV		Apple One Premier Monthly Hardware Offer (3 Month)	1	0.023333	AUD	0
AU	1481400265	MXG561900024	MXG561900024	Even So (feat. Justo Almario)	Rosino Serrano, Orquesta Moderna	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly Hardware Offer (3 Month)	1	0.023333	AUD	0
AU	1836495747	MXF602500172	MXF602500172	Serenata Huasteca (feat. Israel Cupich, Roberto Blanco, Tavo Nandayapa & Leika Mochán)	Iraida Noriega, Blanch, Cupich, Nandayapa Trío	1	0	Fonarte Latino, S.A. de C.V.		Apple One Premier Monthly Hardware Offer (3 Month)	3	0.069999	AUD	0
AU	154051857	MXF600602464	MXF600602464	Ojos Negros Matadores (Cueca)	Violeta Parra	1	0	Fonarte Latino, S.A. de C.V.		Family Introductory OFFER	1	0.005000	AUD	0
AU	965974067	MXF601500068	MXF601500068	La Petenera	Caña Dulce y Caña Brava	1	0	Fonarte Latino, S.A. de C.V.		Family Introductory OFFER	1	0.005000	AUD	0
AU	143894745	MXF600600020	MXF600600020	Pobre del Cantor	Pablo Milanés	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	143894851	MXF600600022	MXF600600022	Te Doy una Canción	Silvio Rodríguez	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	2	0.006364	AUD	0
AU	145983047	MXF600600428	MXF600600428	Hoy Ten Miedo de Mi	Fernando Delgadillo	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	153141238	MXF600601674	MXF600601674	Hip Hop Adictos	Sabotaje Mexica	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	2	0.006364	AUD	0
AU	160579829	MXF600602067	MXF600602067	Rompiendo el Silencio (Veracruz)	Mista G	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	9	0.028638	AUD	0
AU	292661699	MXF600800054	MXF600800054	Décimas	Pedro Aznar	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	3	0.009546	AUD	0
AU	319834685	MXF600900156	MXF600900156	Es Por Ti	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	319834694	MXF600900157	MXF600900157	Y Qué	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	319834714	MXF600900163	MXF600900163	Bésame Mucho	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	364390264	MXF601000123	MXF601000123	El Saber	Fadi El Saadi	1	0	Fonarte Latino SA de CV		Individual Introductory OFFER	1	0.003182	AUD	0
AU	454611698	MXF601100678	MXF601100678	Rumba	Eblen Macari Ensamble	1	0	Fonarte Latino SA de CV		Individual Introductory OFFER	1	0.003182	AUD	0
AU	538521369	MXF601200642	MXF601200642	Amarte Así	Carlos Macías	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	38	0.120916	AUD	0
AU	1055794439	MXF601500826	MXF601500826	No Pinches Mames	Botellita de Jerez	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	1256721617	MXF601700173	MXF601700173	A Todo Dar	Burbujas	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	1502764070	MXF602000162	MXF602000162	Ma Endi Mal (Dabke)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	1683409289	MXF602300299	MXF602300299	Alf Leila (الف ليله)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Introductory OFFER	1	0.003182	AUD	0
AU	143894700	MXF600600019	MXF600600019	Madre	Silvio Rodríguez	1	0	Fonarte Latino, S.A. de C.V.		Apple One Family Monthly PAID	2	0.011860	AUD	0
AU	143894745	MXF600600020	MXF600600020	Pobre del Cantor	Pablo Milanés	1	0	Fonarte Latino, S.A. de C.V.		Apple One Family Monthly PAID	7	0.041510	AUD	0
