Start Date	12/26/2025
End Date	01/29/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	Currency	ISRC	Item Title	Item Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AE	1712350536	Student Individual Monthly PAID	3	0.009167	0.027501	AED	MXF602300542	Dag Al Mani Mix (Ø¯Ù‚ Ø§Ù„Ù…Ø§Ù†ÙŠ Ù…ÙƒØ³)	Fadi El Saadi	0	1	MXF602300542	1	Fonarte Latino, S.A. de C.V.	
AE	1712350536	Student Individual Monthly PAID	2	0.009167	0.018334	AED	MXF602300542	Dag Al Mani Mix (Ø¯Ù‚ Ø§Ù„Ù…Ø§Ù†ÙŠ Ù…ÙƒØ³)	Fadi El Saadi	0	1	MXF602300542	0	Fonarte Latino, S.A. de C.V.	
AU	143894745	Individual Monthly Discounted Promo 1	1	0.009	0.009	AUD	MXF600600020	Pobre del Cantor	Pablo MilanÃ©s	0	1	MXF600600020	0	Fonarte Latino, S.A. de C.V.	
AU	143894936	Individual Monthly Discounted Promo 1	2	0.009	0.018	AUD	MXF600600023	Como el Largo de Tus Rios	Pablo MilanÃ©s	0	1	MXF600600023	0	Fonarte Latino, S.A. de C.V.	
AU	151981390	Individual Monthly Discounted Promo 1	1	0.009	0.009	AUD	MXF600600389	PresentaciÃ³n	Chava Flores	0	1	MXF600600389	0	Fonarte Latino, S.A. de C.V.	
AU	400605338	Individual Monthly Discounted Promo 1	1	0.009	0.009	AUD	MXF601000510	La Esquina De Mi Barrio	Chava Flores	0	1	MXF601000510	0	Fonarte Latino SA de CV	
AU	555716427	Individual Monthly Discounted Promo 1	1	0.009	0.009	AUD	MXF601200800	Ya Habibi	Fadi El Saadi	0	1	MXF601200800	0	Fonarte Latino, S.A. de C.V.	
AU	1482678960	Individual Monthly Discounted Promo 1	1	0.009	0.009	AUD	MXF601900376	Amor MÃ­o	Regina Orozco, Omara Portuondo	0	1	MXF601900376	1	Fonarte Latino, S.A. de C.V.	
AU	1482678965	Individual Monthly Discounted Promo 1	1	0.009	0.009	AUD	MXF601900381	ArrÃ¡ncame la Vida	Omara Portuondo	0	1	MXF601900381	1	Fonarte Latino, S.A. de C.V.	
AU	1482678969	Individual Monthly Discounted Promo 1	1	0.009	0.009	AUD	MXF601900385	MarÃ­a Bonita	Omara Portuondo	0	1	MXF601900385	0	Fonarte Latino, S.A. de C.V.	
