Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency	Anio	Mes
08/03/2025	08/30/2025		MXF602300130	MXF602300130	1	9.15	9.15	MXN	S	1667640781	JosÃ© Cantoral	No SabÃ­a Que ExistÃ­as	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF602500154	MXF602500154	1	9.15	9.15	MXN	S	1830569373	Carlos MacÃ­as	Tu Nombre en Cada CanciÃ³n: Soy Tu DueÃ±o / Ella Es / De Ti o De Nadie	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF602500101	MXF602500101	1	9.15	9.15	MXN	S	1814676536	Skapital Sound	DejarÃ© la Llave en mi Puerta	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF602400368	MXF602400368	1	9.15	9.15	MXN	S	1783190848	Los Alumnos de la CQ NUEVO INGRESO	La CQ Nuevo Ingreso	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	36.6	36.6	MXN	S	145980834	Terceto de Guitarras de la Ciudad de Mexico	Terceto de Guitarras de la Ciudad de Mexico	Fonarte Latino, S.A. de C.V.		I		MX			60	MXN	2025	8
08/03/2025	08/30/2025		MXF600600022	MXF600600022	1	9.15	9.15	MXN	S	143894851	Silvio RodrÃ­guez	Te Doy una CanciÃ³n	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601200474	MXF601200474	1	7.32	7.32	MXN	S	527837218	Real de Catorce	AdiÃ³s, PartÃ­	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	73.2	73.2	MXN	S	1509989328	Pasatono Orquesta	Tonos de Nube	Fonarte Latino, S.A. de C.V.		I		MX			120	MXN	2025	8
08/03/2025	08/30/2025		MXF601301191	MXF601301191	2	9.15	18.3	MXN	S	765846877	Carlos MacÃ­as	Basta	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601301186	MXF601301186	1	9.15	9.15	MXN	S	765846872	Carlos MacÃ­as	Cosa de Locos	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF602400314	MXF602400314	1	9.15	9.15	MXN	S	1775983080	Sofia Guardiola	Lo Veo en Ti	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF602400040	MXF602400040	1	9.15	9.15	MXN	S	1743042443	Carlos MacÃ­as	Aunque Sea en Otra Vida	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	73.2	73.2	MXN	S	1740829177	Francisco Barrios "El Mastuerzo"	Tributo a la Otra KanciÃ³n Popular Mexikana (RolÃ³pera en Seis Movimientos)	Fonarte Latino, S.A. de C.V.		I		MX			120	MXN	2025	8
08/03/2025	08/30/2025		MXF601800270	MXF601800270	1	9.15	9.15	MXN	S	1357301081	Big Band Jazz de MÃ©xico	Piensa en MÃ­ (feat. Susana Zabaleta)	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601900373	MXF601900373	1	9.15	9.15	MXN	S	1482678956	Regina Orozco, Omara Portuondo	Sabor a MÃ­	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF600600831	MXF600600831	1	7.32	7.32	MXN	S	152400059	Real de Catorce	Dorina y Abel	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025		MXF600600761	MXF600600761	1	7.32	7.32	MXN	S	152394876	Real de Catorce	Un Par de Ojos	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025		MXF600602430	MXF600602430	1	7.32	7.32	MXN	S	153880737	Sanampay	Jacinto Cenobio (Corrido)	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025		MXF600602424	MXF600602424	1	7.32	7.32	MXN	S	153880561	Sanampay	Cautivo de Til-Til (Vals Mazurca)	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	73.2	73.2	MXN	S	1638174257	Regina Orozco	Canciones Pa' Planchar	Fonarte Latino, S.A. de C.V.		I		MX			120	MXN	2025	8
08/03/2025	08/30/2025		MXF600601725	MXF600601725	1	7.32	7.32	MXN	S	153307260	Santa Sabina	SueÃ±o Con Serpientes	Fonarte Latino, S.A. de C.V.		H		MX			12	MXN	2025	8
